Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Kobe Bryant, SF",0.951219512195,0.951219512195,0.997416020672,0.951219512195,0.133333333333,0.391666666667,0.311111111111,0.540540540541,0.564315352697,0.105610561056,0.948717948718,0.578947368421,0.2,0.728706624606,0.940594059406,0.918918918919,0.463,0.485714285714,0.675324675325,0.324,0.779069767442,0.78431372549,0.84,0.896551724138,0.863636363636,0.51,0.382,0.5
"Dwight Howard, C",0.926829268293,0.926829268293,0.925064599483,0.595818815331,0.55,0.758333333333,0.688888888889,0.126126126126,0.460580912863,0.808580858086,0.769230769231,1.0,0.0625,0.615141955836,0.613861386139,0.481981981982,0.578,0.0,0.012987012987,0.167,0.546511627907,0.93137254902,0.49,0.712643678161,0.602272727273,0.581,0.455428571429,0.58
"Pau Gasol, C",0.59756097561,0.512195121951,0.87338501292,0.477351916376,0.383333333333,0.525,0.477777777778,0.369369369369,0.203319502075,0.409240924092,0.538461538462,0.5,0.2375,0.526813880126,0.544554455446,0.531531531532,0.466,0.0571428571429,0.0779220779221,0.286,0.302325581395,0.352941176471,0.7,0.609195402299,0.636363636364,0.475,0.332,0.47
"Metta World Peace, SF",0.914634146341,0.80487804878,0.870801033592,0.432055749129,0.216666666667,0.3,0.277777777778,0.135135135135,0.676348547718,0.184818481848,0.333333333333,0.684210526316,0.1375,0.397476340694,0.435643564356,0.495495495495,0.403,0.542857142857,0.714285714286,0.342,0.197674418605,0.225490196078,0.73,0.287356321839,0.3125,0.464,0.322,0.49
"Steve Nash, PG",0.609756097561,0.609756097561,0.839793281654,0.442508710801,0.0833333333333,0.191666666667,0.155555555556,0.603603603604,0.248962655602,0.03300330033,0.641025641026,0.368421052632,0.325,0.504731861199,0.465346534653,0.427927927928,0.497,0.314285714286,0.337662337662,0.438,0.244186046512,0.225490196078,0.92,0.413793103448,0.392045454545,0.519,0.382571428571,0.56
"Steve Blake, PG",0.548780487805,0.158536585366,0.674418604651,0.254355400697,0.0833333333333,0.208333333333,0.161111111111,0.342342342342,0.315352697095,0.042904290429,0.358974358974,0.473684210526,0.35,0.372239747634,0.247524752475,0.27027027027,0.422,0.457142857143,0.493506493506,0.421,0.0697674418605,0.078431372549,0.77,0.103448275862,0.125,0.424,0.346,0.56
"Earl Clark, SF",0.719512195122,0.439024390244,0.596899224806,0.254355400697,0.233333333333,0.341666666667,0.305555555556,0.0990990990991,0.253112033195,0.247524752475,0.282051282051,0.447368421053,0.125,0.394321766562,0.287128712871,0.292792792793,0.44,0.171428571429,0.233766233766,0.337,0.104651162791,0.127450980392,0.7,0.264367816092,0.267045454545,0.479,0.316857142857,0.49
"Antawn Jamison, PF",0.926829268293,0.0731707317073,0.555555555556,0.327526132404,0.233333333333,0.275,0.266666666667,0.0630630630631,0.161825726141,0.0957095709571,0.179487179487,0.421052631579,0.1125,0.485804416404,0.346534653465,0.342342342342,0.464,0.314285714286,0.402597402597,0.361,0.139534883721,0.176470588235,0.69,0.275862068966,0.255681818182,0.535,0.353714285714,0.54
"Jodie Meeks, SG",0.951219512195,0.121951219512,0.550387596899,0.275261324042,0.0833333333333,0.141666666667,0.122222222222,0.0810810810811,0.307053941909,0.019801980198,0.179487179487,0.342105263158,0.1625,0.359621451104,0.257425742574,0.306306306306,0.387,0.457142857143,0.571428571429,0.357,0.127906976744,0.117647058824,0.9,0.114942528736,0.136363636364,0.441,0.333142857143,0.5
"Chris Duhon, PG",0.560975609756,0.109756097561,0.459948320413,0.101045296167,0.0333333333333,0.1,0.0833333333333,0.261261261261,0.178423236515,0.00660066006601,0.230769230769,0.315789473684,0.4125,0.252365930599,0.0990099009901,0.121621621622,0.382,0.2,0.25974025974,0.363,0.0116279069767,0.0294117647059,0.46,0.0344827586207,0.0397727272727,0.438,0.308857142857,0.52
