Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Carmelo Anthony, SF",0.817073170732,0.817073170732,0.956072351421,1.0,0.333333333333,0.408333333333,0.383333333333,0.234234234234,0.323651452282,0.158415841584,0.666666666667,0.815789473684,0.125,0.782334384858,0.990099009901,1.0,0.449,0.657142857143,0.805194805195,0.379,0.732558139535,0.745098039216,0.83,0.885057471264,0.909090909091,0.476,0.368285714286,0.5
"Earl Barron, C",0.0121951219512,0.0121951219512,0.956072351421,0.383275261324,1.0,1.0,1.0,0.18018018018,0.0,0.3300330033,0.25641025641,0.263157894737,0.25,0.488958990536,0.49504950495,0.630630630631,0.357,0.0,0.0,0.0,0.116279069767,0.196078431373,0.5,0.574712643678,0.795454545455,0.357,0.224571428571,0.36
"Raymond Felton, PG",0.829268292683,0.829268292683,0.878552971576,0.484320557491,0.133333333333,0.175,0.161111111111,0.495495495495,0.572614107884,0.0693069306931,0.589743589744,0.5,0.3,0.479495268139,0.544554455446,0.585585585586,0.427,0.4,0.493506493506,0.36,0.174418604651,0.186274509804,0.79,0.471264367816,0.522727272727,0.455,0.307142857143,0.48
"J.R. Smith, SG",0.975609756098,0.0,0.865633074935,0.630662020906,0.133333333333,0.375,0.294444444444,0.243243243243,0.51867219917,0.0990099009901,0.435897435897,0.736842105263,0.2,0.558359621451,0.653465346535,0.702702702703,0.422,0.542857142857,0.714285714286,0.356,0.348837209302,0.382352941176,0.76,0.540229885057,0.573863636364,0.458,0.330857142857,0.48
"Tyson Chandler, C",0.80487804878,0.80487804878,0.847545219638,0.362369337979,0.683333333333,0.55,0.594444444444,0.0810810810811,0.265560165975,0.376237623762,0.333333333333,0.736842105263,0.0875,0.596214511041,0.386138613861,0.274774774775,0.638,0.0,0.0,0.0,0.313953488372,0.382352941176,0.69,0.448275862069,0.346590909091,0.638,0.492285714286,0.64
"Quentin Richardson, SF",0.0121951219512,0.0,0.749354005168,0.174216027875,0.833333333333,0.416666666667,0.555555555556,0.0900900900901,0.0,0.0,0.512820512821,0.263157894737,0.0625,0.0220820189274,0.0990099009901,0.495495495495,0.091,0.285714285714,0.519480519481,0.25,0.232558139535,0.196078431373,1.0,0.0,0.397727272727,0.0,0.13,0.14
"Jason Kidd, PG",0.926829268293,0.585365853659,0.695090439276,0.209059233449,0.116666666667,0.3,0.238888888889,0.297297297297,0.680497925311,0.108910891089,0.25641025641,0.421052631579,0.4125,0.425867507886,0.19801980198,0.243243243243,0.372,0.428571428571,0.558441558442,0.351,0.0581395348837,0.0588235294118,0.83,0.0574712643678,0.0625,0.452,0.32,0.51
"Kenyon Martin, PF",0.219512195122,0.134146341463,0.617571059432,0.250871080139,0.316666666667,0.283333333333,0.294444444444,0.036036036036,0.369294605809,0.310231023102,0.230769230769,0.947368421053,0.0625,0.438485804416,0.306930693069,0.234234234234,0.602,0.0,0.0,0.0,0.104651162791,0.21568627451,0.43,0.35632183908,0.295454545455,0.602,0.396285714286,0.6
"Amar'e Stoudemire, PF",0.353658536585,0.0,0.607235142119,0.494773519164,0.35,0.241666666667,0.277777777778,0.036036036036,0.141078838174,0.237623762376,0.435897435897,0.815789473684,0.0375,0.700315457413,0.524752475248,0.414414414414,0.577,0.0,0.0,0.0,0.418604651163,0.441176470588,0.81,0.609195402299,0.522727272727,0.577,0.442,0.58
"Iman Shumpert, SG",0.548780487805,0.548780487805,0.571059431525,0.236933797909,0.116666666667,0.191666666667,0.166666666667,0.153153153153,0.398340248963,0.0528052805281,0.205128205128,0.578947368421,0.25,0.369085173502,0.237623762376,0.274774774775,0.396,0.314285714286,0.363636363636,0.402,0.093023255814,0.0980392156863,0.77,0.149425287356,0.1875,0.392,0.316857142857,0.49
