Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Marc Gasol, C",0.987804878049,0.987804878049,0.857881136951,0.619217081851,0.264150943396,0.633663366337,0.52,0.351851851852,0.372294372294,0.6328125,0.5,0.634146341463,0.2125,0.488738738739,0.691489361702,0.6,0.494,0.0,0.0246913580247,0.176,0.488636363636,0.529411764706,0.8,0.738636363636,0.70652173913,0.5,0.3295,0.5
"Zach Randolph, PF",0.865853658537,0.865853658537,0.839793281654,0.572953736655,0.603773584906,0.732673267327,0.7,0.203703703704,0.419913419913,0.078125,0.5,0.609756097561,0.125,0.439189189189,0.68085106383,0.595454545455,0.487,0.0277777777778,0.037037037037,0.35,0.363636363636,0.411764705882,0.77,0.715909090909,0.695652173913,0.49,0.3065,0.49
"Mike Conley, PG",0.853658536585,0.853658536585,0.821705426357,0.562277580071,0.0754716981132,0.257425742574,0.2,0.5,0.549783549784,0.078125,0.5,0.487804878049,0.3,0.418918918919,0.595744680851,0.572727272727,0.446,0.416666666667,0.493827160494,0.386,0.352272727273,0.352941176471,0.86,0.465909090909,0.467391304348,0.473,0.31375,0.51
"Courtney Lee, SG",0.939024390244,0.90243902439,0.790697674419,0.359430604982,0.0566037735849,0.19801980198,0.153333333333,0.185185185185,0.419913419913,0.0625,0.227272727273,0.414634146341,0.2375,0.259009009009,0.393617021277,0.381818181818,0.448,0.333333333333,0.358024691358,0.402,0.159090909091,0.166666666667,0.86,0.284090909091,0.298913043478,0.473,0.302,0.52
"Jeff Green, SF",0.548780487805,0.451219512195,0.780361757106,0.466192170819,0.188679245283,0.316831683168,0.28,0.166666666667,0.251082251082,0.18359375,0.272727272727,0.439024390244,0.2,0.322072072072,0.5,0.495454545455,0.427,0.305555555556,0.382716049383,0.362,0.295454545455,0.313725490196,0.83,0.409090909091,0.423913043478,0.452,0.29875,0.48
"Tony Allen, SG",0.768292682927,0.5,0.677002583979,0.306049822064,0.301886792453,0.277227722772,0.293333333333,0.12962962963,0.887445887446,0.1875,0.318181818182,0.634146341463,0.125,0.331081081081,0.382978723404,0.327272727273,0.495,0.0555555555556,0.0617283950617,0.345,0.147727272727,0.196078431373,0.63,0.386363636364,0.364130434783,0.505,0.29625,0.51
"Tayshaun Prince, SF",0.317073170732,0.109756097561,0.625322997416,0.259786476868,0.150943396226,0.237623762376,0.213333333333,0.12962962963,0.151515151515,0.08984375,0.136363636364,0.19512195122,0.3125,0.238738738739,0.308510638298,0.318181818182,0.41,0.166666666667,0.16049382716,0.455,0.113636363636,0.117647058824,0.83,0.261363636364,0.309782608696,0.4,0.2595,0.45
"Beno Udrih, PG",0.963414634146,0.146341463415,0.488372093023,0.274021352313,0.0566037735849,0.158415841584,0.12,0.259259259259,0.251082251082,0.0390625,0.25,0.268292682927,0.3125,0.349099099099,0.329787234043,0.290909090909,0.487,0.0833333333333,0.148148148148,0.268,0.125,0.127450980392,0.85,0.318181818182,0.282608695652,0.539,0.2995,0.51
"Quincy Pondexter, SF",0.365853658537,0.0243902439024,0.46511627907,0.160142348754,0.132075471698,0.118811881188,0.126666666667,0.0833333333333,0.0735930735931,0.06640625,0.0681818181818,0.390243902439,0.35,0.15990990991,0.170212765957,0.204545454545,0.356,0.166666666667,0.296296296296,0.233,0.0795454545455,0.0980392156863,0.7,0.113636363636,0.114130434783,0.5,0.24825,0.42
"Kosta Koufos, C",0.987804878049,0.0365853658537,0.428940568475,0.185053380783,0.283018867925,0.376237623762,0.353333333333,0.0462962962963,0.155844155844,0.3046875,0.204545454545,0.439024390244,0.0625,0.31981981982,0.234042553191,0.2,0.508,0.0,0.0,0.0,0.0795454545455,0.0980392156863,0.65,0.25,0.239130434783,0.508,0.2925,0.51
