Players,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
"Rudy Gay, SF",0.829268292683,0.817073170732,0.914728682171,0.750889679715,0.264150943396,0.435643564356,0.393333333333,0.342592592593,0.450216450216,0.234375,0.613636363636,0.560975609756,0.175,0.445945945946,0.797872340426,0.745454545455,0.455,0.333333333333,0.395061728395,0.359,0.568181818182,0.56862745098,0.86,0.715909090909,0.717391304348,0.479,0.32075,0.49
"Darren Collison, PG",0.548780487805,0.548780487805,0.899224806202,0.572953736655,0.0754716981132,0.277227722772,0.213333333333,0.518518518519,0.645021645022,0.12109375,0.568181818182,0.512195121951,0.2875,0.394144144144,0.617021276596,0.554545454545,0.473,0.361111111111,0.444444444444,0.373,0.363636363636,0.401960784314,0.79,0.511363636364,0.467391304348,0.514,0.3295,0.53
"DeMarcus Cousins, C",0.719512195122,0.719512195122,0.881136950904,0.857651245552,0.584905660377,0.940594059406,0.846666666667,0.333333333333,0.662337662338,0.68359375,0.977272727273,1.0,0.1,0.56981981982,0.893617021277,0.822727272727,0.467,0.0,0.0123456790123,0.25,0.818181818182,0.901960784314,0.78,0.954545454545,0.978260869565,0.469,0.33325,0.47
"Ben McLemore, SG",1.0,1.0,0.842377260982,0.430604982206,0.0754716981132,0.257425742574,0.193333333333,0.157407407407,0.406926406926,0.08984375,0.386363636364,0.658536585366,0.125,0.234234234234,0.468085106383,0.459090909091,0.437,0.472222222222,0.592592592593,0.358,0.181818181818,0.196078431373,0.81,0.306818181818,0.288043478261,0.507,0.29975,0.52
"Jason Thompson, PF",0.987804878049,0.768292682927,0.635658914729,0.217081850534,0.320754716981,0.475247524752,0.433333333333,0.0925925925926,0.177489177489,0.2734375,0.227272727273,0.731707317073,0.125,0.22972972973,0.265957446809,0.240909090909,0.47,0.0,0.0,0.0,0.125,0.176470588235,0.62,0.284090909091,0.288043478261,0.471,0.28675,0.47
"Omri Casspi, SF",0.817073170732,0.231707317073,0.545219638243,0.316725978648,0.150943396226,0.306930693069,0.26,0.138888888889,0.199134199134,0.05078125,0.295454545455,0.390243902439,0.15,0.324324324324,0.329787234043,0.290909090909,0.489,0.138888888889,0.16049382716,0.402,0.238636363636,0.28431372549,0.73,0.295454545455,0.277173913043,0.512,0.34725,0.53
"Ray McCallum, PG",0.829268292683,0.365853658537,0.545219638243,0.26334519573,0.150943396226,0.188118811881,0.173333333333,0.259259259259,0.285714285714,0.0625,0.295454545455,0.341463414634,0.275,0.281531531532,0.31914893617,0.313636363636,0.438,0.138888888889,0.197530864198,0.306,0.0909090909091,0.117647058824,0.68,0.284090909091,0.288043478261,0.479,0.2675,0.47
"Andre Miller, PG",0.365853658537,0.0,0.53488372093,0.202846975089,0.0943396226415,0.19801980198,0.166666666667,0.435185185185,0.25974025974,0.05078125,0.431818181818,0.390243902439,0.3,0.279279279279,0.244680851064,0.222727272727,0.459,0.0555555555556,0.111111111111,0.231,0.113636363636,0.127450980392,0.79,0.238636363636,0.217391304348,0.508,0.2905,0.48
"Derrick Williams, PF",0.90243902439,0.0731707317073,0.511627906977,0.29537366548,0.11320754717,0.217821782178,0.18,0.0648148148148,0.199134199134,0.01953125,0.181818181818,0.219512195122,0.1125,0.290540540541,0.308510638298,0.3,0.447,0.194444444444,0.259259259259,0.314,0.204545454545,0.254901960784,0.68,0.25,0.244565217391,0.511,0.318,0.5
"Ramon Sessions, PG",0.439024390244,0.0853658536585,0.459948320413,0.192170818505,0.0754716981132,0.158415841584,0.126666666667,0.25,0.155844155844,0.0,0.318181818182,0.317073170732,0.2375,0.182432432432,0.191489361702,0.231818181818,0.344,0.0555555555556,0.0987654320988,0.214,0.204545454545,0.235294117647,0.73,0.181818181818,0.233695652174,0.368,0.26775,0.36
